name,totalCash,ebitda,totalDebt,totalRevenue,totalEsg
KAR,148700000,376000000,2266800128,2305299968,18.16
SIX,79396000,492056992,2580016896,1395170048,25.66
BBBY,135270000,-347430016,3585850112,6829706240,17.94
MD,100064000,249632992,814136000,1956706944,23.38
MLCO,1646321024,-45224500,7757163008,1698045952,20.28
FL,386000000,1016000000,3289999872,8769999872,14.39
VFC,552811008,1569250048,7073433088,11791243264,12.84
LVS,5836000256,299000000,15292999680,4000999936,17.69
PRGO,490400000,458200000,4333700096,4343799808,36.23
BAM,12204999680,22538000384,199639007232,88874999808,18.02
STX,761000000,1968999936,6248999936,10581000192,10.66
EL,3980999936,4272999936,7760000000,17737000960,25.91
NEE.MX,2860999936,6594999808,63582998528,17489000448,27.53
FM.TO,1788999936,3860000000,7118000128,7800000000,41.03
XOM,18861000704,69707997184,46883000320,354955984896,36.47
VZ,2147000064,43941998592,178638995456,135651000320,18.48
KO,13219999744,13413999616,41190998016,42342998016,22.56
PG,6710000128,21364000768,33002999808,80460996608,26.61
CVX,12369999872,47274999808,26235000832,206099005440,37.61
CRM,13532999680,2464999936,14318999552,29319999488,13.18
NKE,11875999744,7078000128,12590999552,47148998656,16.95
HON,7965000192,8600000512,16984999936,34936999936,29.31
TRV,4700000256,5215000064,7290999808,36259000320,20.52
HD,1259000064,26941999104,47906000896,155239006208,12.54
MRK,10129000448,23480999936,31662999552,57168998400,21.84
BA,14257000448,-2323000064,57218998272,61420998656,34.68
CSCO,19267000320,15902000128,10561000448,51556999168,12.07
UNH,42526998528,29351000064,48667000832,315117993984,17.54
0Y2S.IL,1090200064,2407600128,4836499968,14835000320,16.12
LHL.F,4008218112,4153511936,3853313024,71644585984,15.25
0HW4.L,483000000,21088000000,96282001408,53155999744,26.53
0IQE.L,458344992,300083008,1473675008,3488854016,25.94
0R2O.IL,8577999872,10014000128,10689999872,23185999872,31.94
DYH.TI,1151000064,8531999744,17930999808,107855003648,14.72
VFP.TI,552811008,1569250048,7073433088,11791243264,12.84
ORLY,67060000,3309366016,6540541952,14056859648,13.03
BKNG,11866000384,4499999744,9795999744,14645999616,22.33
KHC,1518000000,6017999872,21127000064,25632000000,35.3
SBUX,3254400000,6354800128,23899099136,31982800896,24.83
LULU,498831008,1777988992,954124032,7061324800,16.06
